axis    vel     acc 	dec 	jerk    kp	kd	ki	kvff    kaff	kout	il	ol	bias	error limit
pan     300.0	300.0	300.0	0.0     400	400	50	0	0	65535	1000	32767	0	150
tilt    300.0   300.0   300.0   0.0     400	400	50	0	0	65535	1000	32767	0	100
# entries	# rates	rates	description
15791	1 10	Berkeley
-6.31	2.17	0.05
-6.37	2.19	0.04
-6.37	2.22	0.05
-6.37	2.27	0.06
-6.39	2.29	0.05
-6.4	2.29	0.06
-6.4	2.27	0.06
-6.4	2.25	0.05
-6.33	2.23	0.06
-6.27	2.19	0.05
-6.3	2.19	0.05
-6.3	2.23	0.05
-6.3	2.21	0.05
-6.19	2.23	0.05
-6.43	2.22	0.06
-6.37	2.24	0.05
-6.37	2.27	0.06
-6.19	2.25	0.06
-6.25	2.28	0.07
-6.2	2.24	0.07
-6.2	2.19	0.07
-6.28	2.22	0.07
-6.26	2.24	0.07
-6.26	2.22	0.06
-6.33	2.21	0.06
-6.33	2.21	0.06
-6.28	2.21	0.06
-6.37	2.19	0.06
-6.37	2.18	0.07
-6.37	2.16	0.07
-6.3	2.19	0.07
-6.18	2.19	0.07
-6.18	2.24	0.07
-5.7	2.2	0.07
-5.7	2.18	0.07
-6.23	2.18	0.07
-8.29	2.2	0.07
-6.47	2.17	0.07
-6.47	2.16	0.06
-6.42	2.12	0.07
-6.44	2.09	0.06
-6.19	2.11	0.06
-6.19	2.09	0.07
-7.75	2.06	0.06
-5.96	2.11	0.07
-5.96	2.11	0.07
-5.96	2.11	0.07
-5.92	2.05	0.07
-5.94	2.08	0.08
-5.94	2.1	0.07
-5.95	2.12	0.07
-5.85	2.09	0.08
-5.85	2.07	0.08
-5.93	2.09	0.08
-5.93	2.09	0.09
-5.93	2.13	0.07
-6.06	2.1	0.08
-6.06	2.14	0.08
-6.04	2.23	0.08
-5.95	2.25	0.08
-5.95	2.27	0.08
-5.99	2.27	0.07
-6.17	2.24	0.08
-6.17	2.32	0.07
-8.03	2.36	0.07
-8.03	2.33	0.07
-8.03	2.32	0.06
-8.08	2.25	0.06
-8.08	2.19	0.06
-8.18	2.22	0.05
-8.14	2.17	0.06
-8.14	2.21	0.06
-8.11	2.18	0.05
-8.3	2.07	0.05
-8.1	2.08	0.05
-8.1	2.01	0.05
-8.27	1.96	0.05
-8.39	1.99	0.04
-8.33	2.01	0.04
-8.33	2.04	0.04
-8.27	2.08	0.04
-8.27	2.09	0.04
-8.17	2.07	0.05
-8.3	2.05	0.05
-8.3	2.06	0.04
-8.29	2.07	0.05
-8.2	2.12	0.05
-8.34	2.07	0.05
-8.26	2.04	0.05
-8.26	1.96	0.06
-8.24	1.91	0.06
-8.42	1.87	0.05
-8.3	1.87	0.05
-8.3	1.89	0.05
-8.35	1.83	0.05
-8.22	1.85	0.05
-8.22	1.84	0.05
-8.31	1.84	0.05
-8.38	1.77	0.04
-8.35	1.77	0.04
-8.57	1.78	0.05
-8.55	1.77	0.05
-8.55	1.76	0.04
-8.35	1.7	0.05
-8.37	1.77	0.04
-8.27	1.79	0.03
-8.27	1.84	0.04
-8.27	1.87	0.03
-8.3	1.88	0.05
-8.3	1.88	0.04
-8.3	1.91	0.04
-8.29	1.89	0.05
-8.43	1.91	0.04
-8.37	1.89	0.04
-8.37	1.88	0.04
-8.29	1.84	0.04
-8.32	1.84	0.04
-8.4	1.83	0.04
-8.4	1.85	0.03
-8.32	1.8	0.04
-8.36	1.77	0.03
-8.38	1.76	0.03
-8.38	1.75	0.03
-8.31	1.78	0.03
-8.37	1.75	0.02
-8.53	1.7	0.03
-8.53	1.69	0.03
-8.42	1.7	0.03
-8.56	1.67	0.03
-8.52	1.62	0.03
-8.52	1.6	0.03
-8.61	1.59	0.03
-8.45	1.59	0.02
-8.45	1.6	0.03
-8.56	1.56	0.03
-8.45	1.57	0.03
-8.45	1.6	0.03
-8.54	1.68	0.04
-8.49	1.69	0.03
-8.55	1.73	0.03
-8.55	1.75	0.03
-8.31	1.76	0.03
-8.46	1.78	0.03
-8.48	1.82	0.04
-8.48	1.79	0.03
-8.45	1.71	0.03
-8.45	1.76	0.04
-8.46	1.81	0.03
-8.48	1.81	0.04
-8.49	1.83	0.03
-8.49	1.79	0.03
-8.36	1.73	0.04
-8.52	1.78	0.03
-8.36	1.78	0.03
-8.36	1.81	0.04
-8.48	1.86	0.03
-8.3	1.87	0.04
-8.29	1.9	0.04
-8.29	1.88	0.03
-8.29	1.86	0.04
-8.29	1.88	0.03
-8.46	1.87	0.03
-8.39	1.9	0.03
-8.48	1.89	0.02
-8.73	1.83	0.02
-8.73	1.78	0.03
-8.52	1.74	0.02
-8.63	1.75	0.02
-8.63	1.76	0.02
-8.38	1.75	0.01
-8.55	1.73	0.02
-8.55	1.73	0.02
-8.5	1.74	0.01
-8.5	1.69	0.02
-8.57	1.71	0.01
-8.72	1.71	0.02
-8.66	1.7	0.01
-8.66	1.72	0.01
-8.58	1.72	0.02
-8.56	1.68	0.01
-8.43	1.7	0.01
-8.43	1.72	0.02
-8.5	1.79	0.01
-8.39	1.75	0.01
-8.41	1.73	0.02
-8.41	1.71	0.02
-8.46	1.77	0.02
-8.46	1.79	0.03
-8.31	1.74	0.02
-8.46	1.8	0.03
-8.36	1.8	0.03
-8.36	1.81	0.03
-8.19	1.86	0.02
-8.29	1.79	0.03
-8.5	1.8	0.03
-8.5	1.71	0.02
-8.49	1.74	0.02
-8.48	1.68	0.02
-8.34	1.73	0.02
-8.34	1.71	0.02
-8.41	1.73	0.02
-8.49	1.75	0.03
-8.47	1.72	0.03
-8.47	1.69	0.02
-8.5	1.68	0.02
-8.51	1.72	0.02
-8.49	1.71	0.02
-8.42	1.67	0.02
-8.43	1.66	0.02
-8.43	1.68	0.02
-8.42	1.67	0.03
-8.42	1.65	0.02
-8.42	1.59	0.02
-8.55	1.56	0.02
-8.65	1.55	0.02
-6.71	1.57	0.03
-6.71	1.56	0.03
-7.21	1.57	0.03
-7.24	1.56	0.02
-7.12	1.69	0.02
-7.1	1.66	0.02
-7.1	1.7	0.03
-7.3	1.66	0.02
-7.19	1.59	0.02
-7.19	1.57	0.02
-7.15	1.62	0.02
-7.22	1.54	0.03
-7.3	1.59	0.03
-7.31	1.56	0.03
-7.31	1.6	0.03
-7.28	1.56	0.03
-7.28	1.54	0.03
-7.33	1.52	0.03
-7.32	1.54	0.02
-7.35	1.56	0.03
-7.35	1.54	0.03
-7.31	1.53	0.03
-7.31	1.48	0.03
-7.42	1.45	0.03
-7.31	1.42	0.02
-7.31	1.46	0.02
-7.37	1.48	0.02
-7.21	1.47	0.02
-7.18	1.5	0.02
-7.18	1.45	0.02
-7.21	1.46	0.02
-7.35	1.5	0.02
-7.41	1.5	0.02
-7.41	1.49	0.02
-7.35	1.44	0.02
-7.38	1.41	0.02
-7.38	1.42	0.02
-7.38	1.46	0.02
-7.31	1.41	0.03
-7.31	1.39	0.02
-7.4	1.41	0.03
-8.44	1.35	0.03
-8.09	1.33	0.02
-8.09	1.28	0.03
-7.98	1.29	0.03
-8.11	1.36	0.03
-8.03	1.29	0.03
-8.03	1.39	0.03
-8.03	1.36	0.03
-7.95	1.35	0.03
-8.02	1.39	0.03
-8.02	1.43	0.03
-8.56	1.46	0.03
-7.67	1.46	0.04
-7.73	1.49	0.04
-7.73	1.51	0.04
-7.71	1.46	0.03
-7.75	1.41	0.04
-7.65	1.46	0.04
-7.65	1.51	0.04
-7.65	1.55	0.04
-7.64	1.55	0.04
-7.84	1.58	0.03
-7.67	1.59	0.04
-7.67	1.61	0.04
-7.58	1.58	0.04
-7.72	1.61	0.05
-7.66	1.61	0.04
-7.66	1.61	0.04
-7.75	1.62	0.05
-7.65	1.64	0.03
-7.41	1.64	0.04
-7.41	1.62	0.04
-7.59	1.55	0.04
-7.59	1.51	0.05
-7.64	1.52	0.04
-7.55	1.53	0.03
-7.55	1.52	0.04
-6.23	1.5	0.04
-6.54	1.49	0.04
-6.55	1.43	0.04
-6.55	1.42	0.04
-6.58	1.43	0.04
-6.68	1.37	0.04
-6.68	1.32	0.04
-6.78	1.29	0.04
-6.7	1.29	0.04
-6.55	1.31	0.04
-6.55	1.29	0.04
-6.74	1.29	0.04
-6.7	1.27	0.04
-6.81	1.28	0.04
-6.81	1.29	0.03
-6.81	1.26	0.03
-6.83	1.23	0.03
-6.83	1.28	0.02
-6.83	1.32	0.03
-6.7	1.25	0.02
-6.83	1.26	0.02
-6.83	1.23	0.03
-6.83	1.21	0.03
-6.84	1.24	0.03
-6.84	1.26	0.04
-6.81	1.24	0.04
-6.82	1.21	0.04
-6.97	1.2	0.04
-6.84	1.18	0.05
-6.84	1.23	0.05
-6.81	1.24	0.04
-6.76	1.2	0.04
-6.84	1.21	0.04
-6.79	1.16	0.04
-6.79	1.18	0.04
-7.04	1.18	0.03
-7.04	1.2	0.03
-6.98	1.18	0.04
-6.98	1.19	0.04
-7.03	1.23	0.04
-6.8	1.2	0.04
-6.96	1.2	0.03
-7.16	1.24	0.04
-7.16	1.19	0.04
-6.97	1.24	0.04
-6.95	1.2	0.04
-6.8	1.2	0.04
-6.8	1.19	0.03
-6.8	1.21	0.04
-6.86	1.25	0.03
-7.01	1.26	0.04
-6.91	1.26	0.05
-6.91	1.22	0.04
-6.74	1.25	0.05
-6.82	1.29	0.05
-6.97	1.3	0.04
-6.97	1.34	0.05
-6.89	1.38	0.05
-6.94	1.39	0.04
-6.65	1.38	0.04
-6.69	1.41	0.04
-6.69	1.37	0.04
-6.94	1.31	0.05
-6.91	1.31	0.05
-6.9	1.34	0.04
-6.89	1.35	0.04
-6.89	1.41	0.04
-6.92	1.44	0.04
-6.89	1.49	0.05
-6.98	1.49	0.04
-6.82	1.48	0.04
-6.82	1.46	0.04
-6.83	1.44	0.04
-6.86	1.42	0.04
-6.86	1.37	0.04
-6.86	1.33	0.05
-6.79	1.36	0.05
-6.86	1.4	0.05
-6.86	1.46	0.05
-6.89	1.5	0.05
-6.82	1.48	0.05
-6.82	1.52	0.04
-6.96	1.54	0.05
-6.79	1.52	0.05
-6.79	1.54	0.05
-6.76	1.61	0.06
-6.76	1.56	0.05
-6.92	1.57	0.05
-6.83	1.56	0.06
-6.83	1.55	0.05
-6.69	1.54	0.06
-6.8	1.48	0.06
-6.96	1.5	0.06
-6.79	1.47	0.06
-6.79	1.42	0.05
-6.92	1.4	0.06
-6.98	1.36	0.06
-6.98	1.41	0.05
-6.85	1.39	0.07
-6.85	1.34	0.06
-7.06	1.3	0.06
-7.06	1.27	0.06
-6.91	1.21	0.06
-6.95	1.15	0.05
-7.07	1.15	0.06
-6.96	1.15	0.06
-6.96	1.11	0.05
-7	1.13	0.05
-7.14	1.1	0.06
-7.14	1.04	0.05
-7.09	1.04	0.05
-6.86	1.02	0.06
-7.12	0.99	0.06
-7.1	0.98	0.06
-7.1	0.96	0.06
-7.06	0.95	0.05
-7.13	0.93	-0.02
-7.13	0.84	-0.12
-6.82	1.33	0.07
-7.66	3.21	0.35
-7.66	7.62	0.66
-9.29	12.13	0.62
-10.78	14.5	0.55
-12.39	14.97	0.34
-12.39	14.44	0.52
-15.6	12.1	2.16
-15.6	8.19	2.75
-29.13	6.21	1.91
-28.94	6.11	-0.39
-28.94	9.86	-3.23
-23.1	18.37	-4.27
-24.54	23.54	-4.23
-24.54	22.01	-4.09
-24.54	17.31	-3.6
-26.95	11.55	-3.76
-25.63	9.15	-4.2
-25.63	9.88	-4.82
-23.12	10.1	-5.89
-20.66	11.29	-5.02
-26.7	11.45	-2.96
-30.41	10.63	-1.61
-30.41	10.45	-0.49
-31.17	10.9	0.72
-32.13	10.59	1.59
-30.55	9.88	1.9
-30.55	10.11	2.23
-27.78	12.29	2.92
-26.82	14.11	3.68
-26.33	13.08	3.65
-26.33	12.35	3.46
-24.89	12.52	3.58
-24.81	13.71	3.23
-24.81	14.86	2.35
-20.37	15.57	1.35
-17.02	15.1	0.73
-17.02	14.28	0.58
-13.79	13.9	0.51
-13.79	13.8	0.42
-12.01	13.38	0.55
-11.84	12.86	0.55
-11.05	11.86	0.38
-11.05	10.26	0.16
-11.39	9.1	-0.03
-13.09	8.54	-0.23
-14.65	7.49	-0.72
-14.65	5.57	-1.18
-16.54	3.76	-1.27
-19.04	1.93	-0.94
-21.38	-0.02	-0.88
-21.38	0.92	-0.77
-24.12	5.14	-0.61
-28.64	10.74	-0.22
-31.18	16.18	0.33
-33.04	19.51	0.76
-33.04	20.84	0.7
-34.81	22.09	0.01
-33.77	23.99	-1.09
-33.77	26.5	-2.02
-33.77	27.84	-2.5
-28.75	28.73	-2.92
-25.86	29.26	-3.55
-25.86	29.07	-3.96
-23.09	25.64	-3.69
-23.61	21.43	-3.36
-23.09	19.13	-3.1
-21.52	19.74	-2.99
-21.52	22	-3.32
-18.03	24.84	-3.42
-15.62	26.7	-3.06
-15.62	26.47	-2.97
-13.78	25.25	-2.94
-11.1	24.27	-2.59
-9.18	23.9	-2.09
-7.39	23.61	-1.8
-7.39	23.19	-1.55
-6.2	23.12	-1.16
-6.36	23.68	-0.63
-9.16	23.47	0.03
-9.16	23.13	0.5
-11.61	22.45	1.01
-13.19	21.81	1.49
-16.12	21.9	1.61
-16.88	22.24	1.42
-16.88	22.18	1.45
-16.88	22.81	1.2
-19	22.2	1.03
-19.24	22.43	0.63
-18.24	22.93	0.32
-17.21	23.23	0.16
-16.81	22.95	0.15
-16.81	22.61	0.24
-17.67	22.21	0.41
-18.34	22.99	0.47
-18.34	22.67	0.51
-19.15	22.88	0.5
-18.98	23.76	0.56
-19.2	23.95	0.55
-19.14	23.89	0.51
-19.14	23.79	0.47
-19.2	24.62	0.46
-18.48	24.68	0.37
-18.48	24.98	0.46
-18.51	24.19	0.39
-18.95	24.8	0.26
-18.45	24.65	0.29
-18.73	24.59	0.27
-18.73	24.42	0.24
-18.73	24.61	0.21
-18.75	24.31	0.26
-18.75	24.61	0.22
-18.75	24.65	0.18
-18.75	24.31	0.19
-18.89	24.57	0.15
-18.84	24.44	0.12
-19.09	23.99	0.11
-19.4	23.89	0.12
-19.4	24.33	0.08
-18.9	24.41	0.04
-19.09	23.64	0
-19.09	23.56	-0.03
-19.41	24.11	-0.02
-19.09	24.05	-0.04
-19.28	23.94	-0.06
-19.32	23.84	-0.03
-19.32	23.9	0
-19.33	23.85	0.04
-19.58	23.88	0.13
-19.58	24.46	0.14
-19.3	24.21	0.1
-19.3	23.96	0.11
-19.63	23.91	0.11
-19.53	24.06	0.08
-19.46	24.23	0.1
-19.46	24.17	0.15
-19.48	24.07	0.04
-19.25	23.99	0
-19.25	23.69	0
-19.1	23.28	0.04
-19.73	23.27	0.1
-19.73	24.83	0.11
-18.59	24.54	0.04
-18.59	24.73	0.17
-18.6	24.92	0.23
-18.65	24.83	0.2
-19.06	24.14	0.16
-17.89	25.89	0.02
-17.89	25.46	-0.15
-17.21	25.02	-0.07
-17.55	25.85	-0.02
-17.29	25.77	-0.1
-17.29	25.55	-0.12
-17.01	25.6	-0.12
-17.1	25.09	0.05
-17.1	25.71	0.07
-17.25	25.24	0.04
-17.64	25	0.04
-18.08	24.54	-0.03
-18.22	24.44	0.05
-18.22	25.12	0.01
-17.64	25.26	-0.01
-17.74	25.25	-0.01
-17.74	25.6	0
-17.74	25	0
-17.74	24.55	-0.07
-18.33	24.87	-0.03
-18.07	24.82	-0.06
-17.87	24.95	-0.14
-17.44	25	-0.29
-17.44	24.77	-0.2
-17.53	24.39	-0.16
-17.76	25.46	-0.05
-17.76	25.11	-0.07
-17.62	25.16	-0.04
-17.71	25.53	-0.1
-17.25	25.48	-0.1
-17.44	25.48	0
-17.44	25.83	0.1
-17.35	25.86	0.09
-17.42	25.99	0.09
-17.42	25.99	0.15
-17.49	26.05	0.17
-17.47	26.18	0.13
-17.43	25.76	0.15
-18.01	25.12	0.03
-18.01	25.23	-0.05
-17.09	25.77	-0.05
-17.1	25.79	0.01
-17.1	25.8	0.04
-17.1	25.93	0.07
-17.26	26	0.12
-17.31	26.07	0.13
-17.37	26.08	0.16
-17.37	26.2	0.18
-17.41	26.25	0.06
-17.03	26.19	0.03
-17.03	26.3	0.05
-17.09	26.33	0.03
-16.97	26.43	0.04
-16.94	26.45	0.04
-17.05	26.43	0.05
-17.05	26.58	0.05
-16.87	26.56	0.07
-16.95	26.54	0.05
-16.91	26.57	0.06
-16.91	26.69	0.05
-16.97	26.7	0.06
-16.88	26.76	0.05
-16.85	26.79	0.05
-16.85	26.72	0.06
-16.79	26.78	0.05
-16.81	26.75	0.05
-16.83	26.73	0.05
-16.92	26.72	0.05
-16.92	26.76	0.05
-16.92	26.86	0.06
-16.92	26.89	0.04
-16.79	26.88	0.05
-16.65	26.89	0.06
-16.68	26.92	0.05
-16.84	26.88	0.04
-16.84	26.94	0.04
-16.74	27.02	0.04
-16.52	26.95	0.04
-16.52	26.97	0.05
-16.81	26.97	0.04
-16.63	26.98	0.05
-16.73	26.99	0.06
-16.73	26.92	0.05
-16.73	26.94	0.05
-16.75	26.99	0.06
-16.66	26.94	0.04
-16.66	26.98	0.04
-16.67	27.02	0.05
-16.69	26.98	0.06
-16.63	27	0.05
-16.91	27.06	0.05
-16.91	27.04	0.05
-16.62	27.07	0.04
-16.68	27.1	0.04
-16.68	27.09	0.04
-16.68	27.16	0.05
-16.66	27.16	0.04
-16.44	27.18	0.03
-16.44	27.15	0.04
-16.52	27.1	0.03
-16.74	27.09	0.04
-16.58	27	0.07
-16.76	27.01	0.03
-16.76	27.06	0
-16.62	27.08	0.05
-16.64	27.08	0.06
-16.64	27.02	0.01
-16.71	27.04	0
-16.56	26.99	0.01
-16.63	26.88	-0.08
-16.58	26.91	-0.06
-16.58	27.03	0.08
-16.84	26.96	0.04
-16.55	26.89	-0.05
-16.55	26.96	-0.11
-16.44	26.98	-0.25
-16.25	26.85	-0.34
-17.21	26.81	-0.2
-19.12	26.87	-0.03
-19.12	27	0.12
-23.23	26.91	0.12
-23.23	27.13	0.18
-23.23	27.53	0.14
-27.86	27.47	-0.14
-28.56	27.48	-0.22
-28.56	27.61	-0.64
-28.34	27.36	-0.75
-28.68	27.35	-0.79
-28.83	27.46	-0.98
-28.96	27.33	-0.99
-28.97	27.39	-1.03
-28.97	27.44	-0.96
-28.98	27.4	-1.03
-28.86	27.4	-1.02
-29.09	27.42	-1.03
-29.09	27.26	-1.09
-29.08	27.31	-1.1
-29.05	27.31	-1.05
-29.05	27.38	-1.1
-28.91	27.43	-1.07
-28.97	27.33	-1.03
-29.1	27.4	-1.04
-29.1	27.26	-0.99
-29.14	27.3	-0.96
-29.05	27.3	-0.91
-28.97	27.22	-0.88
-28.97	27.19	-0.84
-29.04	27.14	-0.78
-29.04	27.06	-0.77
-28.84	27.1	-0.74
-29.03	27.09	-0.7
-29.03	27.07	-0.69
-28.98	27.08	-0.66
-28.85	27.07	-0.63
-28.83	27.1	-0.62
-28.92	27.07	-0.59
-28.92	27.07	-0.57
-28.87	26.98	-0.55
-28.81	26.98	-0.52
-28.81	27.01	-0.5
-28.67	27.05	-0.48
-28.81	27.04	-0.47
-28.72	27.08	-0.44
-28.58	27.09	-0.41
-28.58	27.12	-0.41
-28.62	27.06	-0.38
-28.53	27.07	-0.37
-28.65	27.08	-0.36
-28.65	27.04	-0.33
-28.6	27.04	-0.32
-28.52	27.02	-0.31
-28.61	27.01	-0.29
-28.61	27.1	-0.28
-28.36	27.11	-0.27
-28.36	27.1	-0.26
-28.36	27.11	-0.25
-28.47	27.07	-0.24
-28.47	27.04	-0.23
-28.47	27.02	-0.22
-28.56	27.04	-0.21
-28.48	27.06	-0.21
-28.5	26.99	-0.18
-28.5	26.96	-0.18
-28.52	26.96	-0.17
-28.37	27	-0.15
-28.5	26.96	-0.15
-28.5	26.94	-0.14
-28.48	26.97	-0.14
-28.42	26.97	-0.12
-28.55	26.92	-0.12
-28.62	26.91	-0.12
-28.62	26.96	-0.1
-28.44	26.97	-0.11
-28.41	26.98	-0.1
-28.55	27.01	-0.09
-28.55	27.03	-0.09
-28.46	27.04	-0.07
-28.46	27	-0.07
-28.28	27.02	-0.06
-28.48	26.96	-0.06
-28.48	26.98	-0.05
-28.48	26.94	-0.05
-28.51	26.92	-0.04
-28.52	26.88	-0.04
-28.46	26.93	-0.03
-28.46	26.88	-0.03
-28.33	26.88	-0.02
-28.48	26.88	-0.02
-28.4	26.88	-0.02
-28.4	26.86	-0.01
-28.44	26.88	-0.02
-28.37	26.89	-0.01
-28.54	26.88	0
-28.54	26.92	-0.01
-28.34	26.9	0
-28.49	26.92	0
-28.3	27.11	-0.02
-28.42	26.98	0.02
-28.42	27	0
-28.25	27.14	0
-28.26	27.09	0
-28.56	27.04	0.01
-28.56	27.08	0.02
-28.51	27.32	0.02
-28.58	27.08	0.08
-28.58	26.88	0
-28.58	26.79	-0.04
-28.64	26.79	0.03
-28.64	26.79	0.02
-28.58	26.65	0.01
-28.68	26.65	-0.02
-28.65	26.72	0.04
-28.77	26.67	0.02
-28.77	26.65	-0.01
-28.75	26.62	0
-28.72	26.86	0.01
-28.74	26.99	0.02
-28.9	27.18	0.04
-28.9	27.23	0.02
-28.74	27.39	0.04
-28.43	27.17	0.05
-28.43	26.82	0.02
-28.79	26.69	-0.04
-28.66	26.62	0.01
-28.82	26.83	0.02
-28.82	26.72	0.04
-28.82	26.56	-0.03
-28.69	26.74	0.02
-29.06	26.6	0.06
-29.06	26.64	0
-29.07	26.7	0.01
-29.07	26.88	0.03
-29.07	26.95	0.14
-29.23	27.24	0.03
-28.96	27.06	0.05
-29.07	27.17	-0.02
-29.07	27.25	0.07
-29.12	27.3	0.06
-28.93	27.13	0.01
-28.76	26.91	-0.01
-28.73	26.71	-0.04
-28.73	26.72	0
-28.97	26.78	0.01
-28.94	26.71	0.02
-28.91	26.72	-0.03
-28.91	26.71	0.02
-28.73	26.66	0.04
-29.12	26.6	0.02
-29.35	26.53	0.02
-29.35	27.04	0.06
-29.31	27.31	0.2
-29.59	27.62	0.08
-28.99	27.49	0.05
-29.26	27.13	0
-29.26	27.63	0.06
-28.88	27.47	0.1
-28.97	27.2	-0.02
-28.97	27.05	-0.09
-28.97	26.52	-0.05
-29.21	26.66	-0.02
-29.21	26.85	0.03
-29.15	26.73	-0.02
-29.06	26.79	-0.04
-29.01	26.78	0.04
-29.01	26.82	0
-28.9	26.83	-0.01
-28.99	26.7	0.02
-29.01	26.82	0.01
-29.01	26.91	0.02
-28.83	26.79	0.02
-28.95	26.89	0.01
-28.96	26.83	0.04
-28.96	26.87	0.02
-29.15	26.77	0.05
-29.49	26.83	0.07
-29.19	27.59	0.12
-29.2	27.84	0.1
-29.2	27.45	0.08
-29.44	27.7	0.06
-29.3	27.82	0.01
-29.3	27.46	0.09
-29.03	27.1	-0.07
-29.19	26.76	-0.15
-29.29	26.46	-0.06
-29.29	26.66	0
-29.44	26.67	0.02
-29.31	26.55	-0.08
-29.31	26.62	-0.01
-29.43	26.61	0.04
-29.45	26.66	-0.02
-29.45	26.62	-0.01
-29.18	26.49	0.04
-29.5	26.63	0.03
-29.32	26.58	0.02
-29.32	26.56	0.02
-29.17	26.6	0.02
-29.3	26.6	0.04
-29.32	26.59	0.02
-29.24	26.54	0.03
-29.24	26.49	0.04
-29.45	26.5	0.03
-29.34	26.51	0.03
-29.33	26.56	0.04
-29.33	26.6	0.05
-29.19	26.64	0.06
-29.26	26.72	0.04
-29.11	26.74	0.06
-29.16	26.77	0.07
-29.16	26.84	0.05
-28.91	26.78	0.06
-28.91	26.79	0.06
-28.91	26.78	0.06
-29.08	26.83	0.05
-29.04	26.82	0.05
-29.04	26.85	0.06
-29.02	26.86	0.06
-29.02	26.85	0.05
-29.12	26.87	0.06
-29.12	26.84	0.07
-29.11	26.79	0.07
-29.03	26.82	0.07
-29.12	26.84	0.07
-29.12	26.84	0.08
-29.1	26.78	0.07
-29.24	26.73	0.07
-29.03	26.7	0.08
-29.01	26.71	0.08
-29.01	26.68	0.08
-29.22	26.67	0.08
-29.13	26.68	0.08
-29.12	26.64	0.08
-29.12	26.62	0.08
-29.29	26.66	0.08
-29.16	26.72	0.09
-29.1	26.7	0.09
-29.1	26.7	0.08
-29.1	26.72	0.08
-29.18	26.74	0.08
-28.98	26.8	0.07
-28.98	26.77	0.07
-29.1	26.75	0.07
-29.1	26.69	0.07
-29.19	26.66	0.07
-29.19	26.71	0.08
-29.12	26.75	0.08
-29.12	26.77	0.08
-29.03	26.74	0.08
-29.03	26.74	0.08
-29.07	26.77	0.08
-29.16	26.81	0.08
-29.16	26.83	0.08
-29.05	26.84	0.08
-29.09	26.81	0.07
-28.92	26.82	0.08
-28.92	26.79	0.08
-29	26.76	0.08
-29.19	26.78	0.08
-29.17	26.72	0.08
-29.05	26.74	0.08
